Title,Article,Category
"Government assures, there is no evidence of heat stress on wheat crop in major growing states  
",The Government has said that the condition of wheat crop in the major growing states is normal and there is no heat stress on the crop as of now.,Business
"Domestic share markets close with robust gains of more than one and a half percent
",Domestic share markets today closed with strong gains of more than one and a half percent.,Business
"Asian shares rise after Wall Street reverses losses 
",Asian shares rose today after Wall Street reversed losses on signals of a measured policy tightening approach from the U.S. Federal Reserve. ,Business
"Oil prices hold steady registering a weekly gain
","Oil prices held steady today, poised to register a weekly gain. This comes amid renewed optimism as China's demand recovery overrode recession worries over growing U.S. crude inventories and tightening monetary policy in Europe.",Business
"US stocks rally as Treasury yields pull back from earlier highs
","U.S. stocks rallied yesterday as Treasury yields pulled back from earlier highs following comments from Atlanta Federal Reserve President Raphael Bostic about his favoured path of interest rate hikes for the central bank.
",Business
"

Gaming firm Nazara Tech's 2 subsidiaries hold cash worth ₹64 crore in collapsed SVB


short by Anmol Sharma / 
      08:52 pm on 12 Mar 2023,Sunday

","Digital gaming platform Nazara Technologies said two of its subsidiaries, Kiddopia and Mediawrkz, have ₹64 crore held in the recently-collapsed Silicon Valley Bank (SVB). Nazara stated, ""Both...continue to be well capitalised and are generating positive cash flows along with profitability. Therefore...we expect no impact on their day-to-day operations, business performance & growth plans.""",Business
"

Adani prepays $2.15-bn share-backed financing, $500-mn bridge loan for Ambuja acquisition


short by Anmol Sharma / 
      11:03 pm on 12 Mar 2023,Sunday

","Adani Group on Sunday stated that it has completed full prepayment of margin linked share-backed financing aggregating to $2.15 billion, before committed timeline of March 31, 2023. The promoters have also prepaid $500-million facility taken for Ambuja acquisition financing. Adani Group added the entire prepayment program has been completed within 6 weeks.",Business
"

Kid wants mamma to come help: Adani CFO as US investor seeks govt bailout for SVB


short by Hiral Goyal / 
      05:26 pm on 12 Mar 2023,Sunday

","Adani Group's CFO Jugeshinder Singh tweeted, ""Kid wants 'mamma' to come help,"" in response to billionaire investor Bill Ackman seeking a government bailout for the collapsed Silicon Valley Bank. ""The failure of SVB could destroy an important long-term driver of...economy,"" the American investor said. He had earlier called the Hindenburg Research's report on Adani Group ""highly credible"".",Business
"

Tyre burst not act of God: HC as it orders insurer to pay ₹1.25 cr to victim's family


short by Hiral Goyal / 
      04:34 pm on 12 Mar 2023,Sunday

","The Bombay High Court has ordered an insurance company to pay ₹1.25 crore compensation to the family of a man who died in a car accident following a tyre burst. The company argued that the burst was an act of God. However, the court said it cannot be termed an act of God, as it's an act of human negligence.",Business
"

CAG to chair G20 SAI meet; Blue Economy, responsible AI in focus


short by Srishty Choudhury / 
      05:24 pm on 12 Mar 2023,Sunday

","At the Supreme Audit Institutions-20 meeting, Blue Economy and responsible Artificial Intelligence will be discussed. The meeting is part of India's G20 presidency and will be hosted by the CAG of India. Blue Economy is the sustainable use of ocean resources for economic growth, while responsible AI is a governance framework aimed at what data can be collected and used.
",Business
"

He's evil: Musk on Bannon's 'Chinese govt owns Musk' remark


short by Aishwarya Awasthi / 
      09:32 pm on 12 Mar 2023,Sunday

","Tesla CEO Elon Musk took to Twitter to respond to former White House Chief Strategist Steve Bannon's remark that the Chinese government owns him, saying, ""I used to think Bannon was smart and evil, but now I realise I was wrong about the first part."" Bannon had also said that Musk keeps ""true anti-CCP people"" blocked off Twitter.",Business
"

Our deposits at SVB are immaterial: Six Hong Kong-listed firms


short by Aishwarya Awasthi / 
      10:37 pm on 12 Mar 2023,Sunday

","Six Hong Kong-listed firms in an effort to calm their investors disclosed their deposits at the fallen Silicon Valley Bank and said their exposure to the bank and the impact from its fall were immaterial. Among the six firms, Brii Biosciences had the highest percentage of cash and bank balances at SVB. Broncus Holding said it held $11.8 million.",Business
"

UK payments firm Wise says it has 'minimal exposure' to SVB


short by Aishwarya Awasthi / 
      10:42 pm on 12 Mar 2023,Sunday

","UK-based payments firm Wise said it has ""minimal exposure"" to the Silicon Valley Bank. It held a small cash balance in a corporate account with the bank. ""We have minimal exposure to SVB via a credit facility they are part of together with six other major banks, and a small cash balance in an operational corporate account,"" the firm said.",Business
"

Our exposure to the current SVB situation is minimal: Freshworks


short by Aishwarya Awasthi / 
      11:12 pm on 12 Mar 2023,Sunday

","SaaS firm Freshworks has said that it has ""minimal"" exposure to the current Silicon Valley Bank situation. ""We do not foresee any disruption to our employees or customers,"" it said. It added that it is working with customers and vendors who were using its SVB account to move to alternate bank accounts.",Business
"

No bailout being considered for Silicon Valley Bank: US' Yellen


short by Aishwarya Awasthi / 
      09:05 pm on 12 Mar 2023,Sunday

","US Treasury Secretary Janet Yellen has said that the federal government is not considering a bailout for the Silicon Valley Bank, however, it is working to protect depositors. ""Let me be clear that during the [2008] financial crisis, there were investors and owners of systemic large banks that were bailed out...we are not going to do that again,"" she said.",Business
"

Silicon Valley Bank's fall may cause 1 lakh layoffs: Y Combinator


short by Aishwarya Awasthi / 
      05:20 pm on 12 Mar 2023,Sunday

","Y Combinator has written to US Treasury Secretary Janet Yellen saying that the Silicon Valley Bank's collapse may lead to over one lakh layoffs. Its CEO Garry Tan has submitted a petition to Yellen saying, ""We ask for relief and attention to an immediate critical impact on small businesses, startups, and their employees who are depositors at the bank.""",Business
"

I totally oppose Ford's battery deal with China's CATL: US Senator


short by Aishwarya Awasthi / 
      06:45 pm on 12 Mar 2023,Sunday

","US Senator Joe Manchin has said he is ""totally opposed"" to Ford's battery deal with China's CATL to build batteries for its electric vehicles. Under the Inflation Reduction Act, consumers can receive $7,500 in tax credits for purchasing an EV. A 12% royalty included in the Ford-CATL partnership would send $900 of the $7,500 tax credit to CATL.",Business
"

Infrastructure brings employment, investments: PM Modi in K'taka


short by Srishty Choudhury / 
      10:41 pm on 12 Mar 2023,Sunday

","Infrastructure doesn't bring with it only convenience, it also brings employment opportunities for the people of the country, PM Narendra Modi said on Sunday while addressing a gathering in Karnataka's Mandya. India is not just building ""modern infrastructure"" but also working on a mission mode to build ""social infrastructure"", PM added. He said, ""Good...modern infrastructure makes life easier.""
",Business
"

SVB collapse has led to major crisis in tech world: Israel PM


short by Bhuvnesh Ojha / 
      05:16 pm on 12 Mar 2023,Sunday

","Israel PM Benjamin Netanyahu said the collapse of the Silicon Valley Bank (SVB) in US has ""led to a major crisis in the high-tech world"". He assured the country's businesses banking with SVB that his government will help the affected firms in dealing with the liquidity crisis. The collapse is the biggest US banking failure since the 2008 financial crisis. ",Business
"

India, Australia to conclude talks for comprehensive FTA soon


short by Srishty Choudhury / 
      06:18 pm on 12 Mar 2023,Sunday

","After the meeting of Commerce and Industry Minister Piyush Goyal and Australia's Minister for Trade and Tourism Don Farrell, both countries have agreed to conclude the negotiations for a comprehensive free trade agreement ""as soon as possible"" as there is huge potential to enhance bilateral commerce in the next five years. India-Australia bilateral trade exceeded $31 billion last financial year. 
",Business
"

London's Indian-born Deputy Mayor to head trade mission to India


short by Srishty Choudhury / 
      09:58 pm on 12 Mar 2023,Sunday

","The India-born Deputy Mayor of London for Business, Rajesh Agrawal, will come to New Delhi on Monday as the head of a four-day trade mission comprising 10 of the city's leading technology companies to promote stronger trade and investment links with India. Agrawal was born in Indore and is the entrepreneur behind London-based fintech firms RationalFx and Xendpay.
",Business
"

India will not breach sanctions on Russia oil purchase: Report


short by Srishty Choudhury / 
      09:07 pm on 12 Mar 2023,Sunday

","India will not breach Western sanctions on Russia, including the price cap of $60 imposed on purchases of oil from Moscow, Bloomberg cited sources as saying. India had a detailed discussion with the US and other G-7 nations on the sidelines of the Group of 20 nations meeting recently, and they seem satisfied with its dealings, source said. 
",Business
"

Pak trying to buy Russian oil $10 below the G7 price cap: Report


short by Ashley Paul / 
      05:33 pm on 12 Mar 2023,Sunday

","Pakistan is trying to buy Russian crude oil at $50/barrel, about $10/barrel less than the price cap imposed by G7 countries over Russia's invasion of Ukraine, media reports said. Russia will respond to Pakistan's request for discounted crude oil after it completes formalities such as shipping costs. Russian oil's first consignment is scheduled to arrive in Pakistan in April-end.",Business
"

8 of top 10 valued firms lose ₹1.03 lakh crore, RIL falls most


short by Srishty Choudhury / 
      07:40 pm on 12 Mar 2023,Sunday

","Eight of the top-10 valued companies lost a combined ₹1,03,732.39 crore in market valuation last week, with Reliance Industries (RIL) and ICICI Bank losing the most. Except for Bharti Airtel and ITC, eight firms suffered a decline in their market capitalisation (m-cap). RIL's m-cap fell by ₹41,878.37 crore to ₹15,71,724.26 crore, while ICICI Bank's m-cap declined by ₹18,134.73 crore.

",Business
"

Moderna loses bid to shift liability in vaccine patent case in US


short by Aishwarya Awasthi / 
      08:11 pm on 12 Mar 2023,Sunday

","Moderna on Friday failed to convince a US judge that it should not be the one facing a patent lawsuit over its COVID-19 vaccine, instead the US government should have been sued. US judge Mitchell Goldberg ruled that Moderna had not yet shown that the government was the proper target of the lawsuit by Arbutus Biopharma and Genevant Sciences.

",Business
"

GQG likely to pick up stake in Adani cement business: Report


short by Srishty Choudhury / 
      11:01 pm on 12 Mar 2023,Sunday

","Adani Group is likely to sell a stake in its cement business, with Australia-listed and Florida-based investment firm GQG Partners being one of the probable buyers, The Hindu Businessline cited sources as saying. The report also mentioned that more fundraising of around $1.7 billion will take place before March-end. GQG had bought shares worth ₹15,446 crore in Adani Group's companies. 
",Business
"

Yes Bank's RBI-mandated 3-year lock-in period ends tomorrow


short by Ashley Paul / 
      05:02 pm on 12 Mar 2023,Sunday

","The RBI-mandated three-year lock-in period imposed on Yes Bank's individual investors and exchange-traded funds is ending on Monday. Yes Bank's shares are likely to face selling pressure due to the lock-in period's end, according to analysts. They expect the SBI-led nine banks, which picked up almost 49% of Yes Bank shares in March 2020, to sell their stakes.",Business
"

UK pension funds target BP, Shell chiefs over climate goal: Report


short by Srishty Choudhury / 
      06:43 pm on 12 Mar 2023,Sunday

","Two of UK's largest pension schemes, Universities Superannuation Scheme (USS) and Borders to Coast, will vote against the renewal of top directors at BP and Shell at their annual meetings unless both firms strengthen commitments to tackling carbon emissions, Financial Times reported. ""Our new stewardship and voting policy will see us vote more personally against responsible directors,"" USS said.
",Business
"

Saudi unveils Riyadh Air as part of 'Vision 2030' reform agenda


short by Srishty Choudhury / 
      09:18 pm on 12 Mar 2023,Sunday

","Saudi Arabia announced creation of a new national airline, Riyadh Air, as part of a plan to turn Riyadh into a global aviation hub. Riyadh Air ""aims to launch flights to more than 100 destinations around the world by 2030,"" Saudi Press Agency reported. Saudi Arabia is pursuing aviation goals as part of Crown Prince's wide-ranging 'Vision 2030' reform agenda.",Business
"

Govt to provide financial aid to agencies to promote GI products


short by Srishty Choudhury / 
      04:43 pm on 12 Mar 2023,Sunday

","The government will provide financial assistance to eligible agencies for undertaking initiatives to promote Geographical Indications (GIs) products. This will help create awareness about the significance of GIs and their uniqueness and encourage stakeholders towards registration, DPIIT said. Basmati Rice, Darjeeling Tea, Chanderi Fabric, Mysore Silk and Kullu Shawl, among others, carry GI tags.
",Business
"<div class=""news-card-title news-right-box"">
<a class=""clickable"" href=""/en/news/govt-to-provide-financial-aid-to-agencies-to-promote-gi-products-1678619583343"" onclick=""track_GA_Mixpanel({'hitType': 'event', 'category': 'TitleOfNews', 'action': 'clicked', 'label': 'Govt%20to%20provide%20financial%20aid%20to%20agencies%20to%20promote%20GI%20products)' });"" style=""color:#44444d!important"">
<span itemprop=""headline"">Govt to provide financial aid to agencies to promote GI products</span>
</a>
<div class=""news-card-author-time news-card-author-time-in-title"">
<a href=""/prev/en/news/govt-to-provide-financial-aid-to-agencies-to-promote-gi-products-1678619583343""><span class=""short"">short</span></a> by <span class=""author"">Srishty Choudhury</span> / 
      <span class=""time"" content=""2023-03-12T11:13:03.000Z"" itemprop=""datePublished"">04:43 pm</span> on <span clas=""date"">12 Mar 2023,Sunday</span>
</div>
</div>","<div itemprop=""articleBody"">The government will provide financial assistance to eligible agencies for undertaking initiatives to promote Geographical Indications (GIs) products. This will help create awareness about the significance of GIs and their uniqueness and encourage stakeholders towards registration, DPIIT said. Basmati Rice, Darjeeling Tea, Chanderi Fabric, Mysore Silk and Kullu Shawl, among others, carry GI tags.
</div>",Business
"<div class=""news-card-title news-right-box"">
<a class=""clickable"" href=""/en/news/govt-to-provide-financial-aid-to-agencies-to-promote-gi-products-1678619583343"" onclick=""track_GA_Mixpanel({'hitType': 'event', 'category': 'TitleOfNews', 'action': 'clicked', 'label': 'Govt%20to%20provide%20financial%20aid%20to%20agencies%20to%20promote%20GI%20products)' });"" style=""color:#44444d!important"">
<span itemprop=""headline"">Govt to provide financial aid to agencies to promote GI products</span>
</a>
<div class=""news-card-author-time news-card-author-time-in-title"">
<a href=""/prev/en/news/govt-to-provide-financial-aid-to-agencies-to-promote-gi-products-1678619583343""><span class=""short"">short</span></a> by <span class=""author"">Srishty Choudhury</span> / 
      <span class=""time"" content=""2023-03-12T11:13:03.000Z"" itemprop=""datePublished"">04:43 pm</span> on <span clas=""date"">12 Mar 2023,Sunday</span>
</div>
</div>","<div itemprop=""articleBody"">The government will provide financial assistance to eligible agencies for undertaking initiatives to promote Geographical Indications (GIs) products. This will help create awareness about the significance of GIs and their uniqueness and encourage stakeholders towards registration, DPIIT said. Basmati Rice, Darjeeling Tea, Chanderi Fabric, Mysore Silk and Kullu Shawl, among others, carry GI tags.
</div>",Business
"IRCTC to Begin 'Bharat Nepal Astha Yatra'. From Ticket Price To Itinerary, All You Need To Know"," The package includes only vegetarian meals for lunches on trains. In addition, off-board vegetarian meals will be served in high-quality eateries, hotels, banquets, and packed meals.",Business
7th Pay Commission: Centre Expected To Announce DA Hike By THIS Date. Check Details Here," The finance ministry official, on the condition of anonymity, told India.com that the central government employees could expect a 4 per cent hike in Dearness Allowance this time.",Business
Bank Of Maharashtra Slashes Home Loan Interest Rate To 8.4% From March 13," The new rate is effective from March 13, 2023, BoM said in a statement. Currently, the interest rate on a home loan is 8.6%.",Business
SBI Savings Bank Account: Here   s How To Update Mobile Phone Number With Bank Account," SBI Savings Bank Account: If your mobile phone number is not registered, here are three ways in which you can do the same easily.",Business
PM Kisan Scheme to PM Fasal Bima Yojana: List of Schemes Announced For Farmers," PM Kisan Samman Nidhi Yojana: To address the concerns of the farming community, the Central government has announced several schemes and plans for them.",Business
"Godrej Locks Aims To Clock Rs 1,100 Crore Turnover This Fiscal"," Motwani said that the company would be clocking around Rs 1,100 crore turnover as of March 31, 2023, which will be a growth of Rs 270 crore over the previous fiscal and roughly a 24 per cent increase.",Business
"Silicon Valley Bank Collapse To Impact Indian Startup Ecosystem, Feel Experts"," Given that every third startup in the Silicon Valley is founded by Indian-Americans, experts feel a significantly large number of these founders would be impacted as early as next week in terms of even making basic payments and giving paychecks to their employees.",Business
EXPLAINED: A Major Bank Failed. Here   s Why It   s Not 2008 Again, Silicon Valley Bank was hit hard by the downturn in technology stocks over the past year as well as the Federal Reserve's aggressive plan to increase interest rates to combat inflation.,Business
Oil Giant Saudi Aramco has Profits of $161B in 2022," Oil giant Saudi Aramco said Sunday it earned a $161 billion profit last year, attributing its earnings to higher crude oil prices.",Business
Rs 155 Crore Global Surfaces IPO Opens Tomorrow: Key Things To Keep In Mind, The total revenue of Global Surfaces Limited for the fiscal ended 31 March 2022 was Rs 198 crore. The profit after tax for the fiscal was reported at Rs 35 crore.,Business
Gold Rates On March 12: Check Today   s Gold Prices In Top Cities," Ten grams of 22-carat gold in India today cost Rs 52,160 as against Rs 52,150 yesterday . The price of 24-carat gold today, however, remains unchanged. 10 grams of 24 carat gold today cost Rs 56,890, same as that of yesterday, as per the latest data available on Goodreturns.",Business
Coming Soon: More Wheels From Russia To Roll For Vande Bharat Trains | Details Here," More train wheels are expected to roll into India from Russia with the Russian-Indian consortium -- Transmashholding (TMH) and Rail Vikas Nigam Ltd (RVNL) -- being the lowest bidder to make 200 Vande Bharat trains,",Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"Petrol, Diesel Prices On Sunday, March 12: Check Latest Fuel Prices In Top Cities", One litre of petrol in Delhi today costs Rs 96.72 and one litre of diesel in the national capital today costs Rs 89.62,Business
"China Chooses Continuity, Reappoints Yi Gang As Central Bank Governor",,Business
MoS Chandrashekhar To Meet Indian Startups This Week To Know Impact Of Silicon Valley Bank Collapse,,Business
"Cryptocurrency Price Today: Bitcoin Remains Above 20,000 As Trust Wallet Token Becomes Top Gainer",,Business
"Silicon Valley Bank Collapse Led To ‘Major Crisis’ In Tech World, Closely Monitoring It: Israeli PM Netanyahu",,Business
What Is A Bank Run? The Problem That Caused Silicon Valley Bank Failure,,Business
"Major US Tech Lender Silicon Valley Bank Closed, Here Is What Led To The Crisis",,Business
India Australia Looking To Conclude FTA Phase 2 Negotiations Within This Year: Commerce Minister Piyush Goyal,,Business
Collapsed Silicon Valley Bank Is Not Shareholder In Paytm: CEO Vijay Shekhar Sharma,,Business
Textiles Exports Have Started Showing Signs Of Growth: Textile Minister Piyush Goyal,,Business
'Open To The Idea': Elon Musk On Buying Collapsed Silicon Valley Bank,,Business
Silicon Valley Bank CEO Greg Becker Sold $3.6 Million Worth Stocks Days Before Bank’s Collapse: Report,,Business
Direct Tax Collections Rises 22.58% To Rs 16.68 Lakh Crore Till March 10: CBDT,,Business
Center Releases Tax Devolution Worth Rs 1.40 Lakh Crore To States,,Business
"Infosys President Mohit Joshi Steps Down, Joins Tech Mahindra As MD And CEO",,Business
"Cryptocurrency Price Today: Popular Coins Bitcoin, Ethereum Show Gains, BinaryX (old) Emerges As Top Loser",,Business
Adani Group Seeks To Sell Ambuja Cement's Shares Worth $450 Million To Reduce Debt: Report,,Business
"Equity Mutual Funds Attracted Rs 15,685 Crore In February, Highest In Nine Months",,Business
Forex Reserves Rise For First Time In Five Weeks To $562.40 Billion,,Business
Oyo Founder Ritesh Agarwal's Father Ramesh Agarwal Dies After Falling Off Gurugram High-Rise,,Business
"Congress Gears Up To Take On BJP In Budget Session, Oppn Parties Reluctant To Get On Board",,Business
"PM Modi Inaugurates Projects Worth Rs 16k Crore In Karnataka, Slams Rahul Gandhi For UK Remarks. Top Points",,Business
"Kiran Kumar Reddy, Last CM Of Undivided Andhra Pradesh, Quits Congress",,Business
"'Normal For Him To Cry...': Smriti Irani, Yogi & Other BJP Leaders Slam Rahul Gandhi Over Remarks In UK",,Business
"Centre Opposes Same-Sex Marriage In SC, Says Not Comparable With 'Indian Family Unit' Concept",,Business
Indigenously Built Stealth Frigate INS Sahyadri Participates In Maritime Exercise With French Navy,,Business
"PM Modi Unveils World's Longest Railway Platform In Hubballi, Dedicates IIT Dharwad To Nation",,Business
Indian Navy Set To Place Orders For Over 200 BrahMos Supersonic Cruise Missiles,,Business
"Tamil Nadu BJP Chief Writes To Jaishankar, Seeks Help For Repatriation Of 16 Fishermen Detained By Sri Lanka",,Business
Swara Bhasker Shares First Pictures From Her Haldi Ceremony,,Business
"Bitcoin slumps below $20K as 2023 bull run reverses
","Bitcoin has fallen below the $20,000 mark as the crypto market's 2023 rally came to a halt. The sudden downturn is the latest in a series of wild fluctuations in the digital asset's value, which had seen it reach all-time highs earlier this year. ",Business
"Piyush Goyal to chair 6th meeting of 'National Startup Advisory Council' today
 ",National Startup Advisory Council: Union Minister of Commerce and Industry Piyush Goyal will chair the sixth meeting of the National Startup Advisory Council (NSAC) in New Delhi today (March 11). ,Business
"Facebook parent Meta plans new layoffs, says Report
 ","Meta layoffs 2023: The first job losses are expected to be announced next week, with non-engineering roles expected to be hit hard, The Wall Street Journal reported on Friday (March 10). ",Business
"IRB Infrastructure's toll collection in February month rises 27 per cent to Rs 351.75 crore | DEETS
 ","IRB Infrastructure toll collection: IRB Infra recently split its equity shares in a 10:1 ratio, meaning one share was divided into 10 shares bearing a face value of Rs 1 each. The company's order book currently stands at Rs 20,892 crore, including a construction order book of Rs 9,714 crore.",Business
"Gold prices surge for 24 Carat and 22 Carat 
","The price of gold in India on Thursday, March 10, was recorded at Rs. 55,290 for 24 carat gold (10 grams) and Rs. 50,460 for 22 carat gold (10 grams). ",Business
"UPI transactions surpass 36 crore in a year, says RBI governor
","The Reserve Bank of India's Governor, Shaktikanta Das, announced at the launch of the Digital Payments Awareness Week that UPI transactions have increased by 50% YoY, with over 36 crore transactions in February 2023",Business
"Financial Deadlines Approaching: 5 financial deadlines that you should complete before Mar 31
","With the end of the current financial year approaching on March 31, 2023, taxpayers must complete various financial tasks to avoid penalties. These tasks include linking PAN to Aadhaar, filing updated ITR, paying advance tax, making tax-saving investments, and investing in the PMVVY scheme.
",Business
"Nita Ambani launches The Her Circle EveryBODY project 
","Her Circle was founded and launched by Ambani in 2021 to create a safe, inclusive, growth-oriented digital haven for women. On its second anniversary, the platform has become India’s largest digital platform for women with a phenomenal overall reach of 310 million.",Business
"Bitcoin surges above $22K as Powell's Congressional Testimony boosts market sentiment
","According to the Fed chair, a determination regarding the magnitude of the rate hike scheduled for March has not been finalized yet.",Business
"Swiggy takes down billboard over new 'egg adv' for Holi after outrage on social media
 ",Controversy: Swiggy's egg advertisement billboards for Holi have been taken down after people expressed outrage on social media. ,Business
"IGL, Vikas Lifecare sign Rs 110 crore joint venture to set up smart meter plant 
 ",Boost to Make in India: IGL and Vikas Lifecare have signed a Rs 110 crore joint venture to set up an integrated smart meter plant. ,Business
"Tether's USDT Stablecoin Dominance Reaches 15-month high in cryptocurrency market
","USDT's dominance in the stablecoin market exceeded 54%, marking its highest point since November 2021.",Business
"Bill Gates drives e-auto rickshaw in India, Anand Mahindra invites him, Tendulkar for EV drag race
","Sharing the post on Instagram, Bill Gates wrote, ""India’s passion for innovation never ceases to amaze. I drove an electric rickshaw, capable of traveling up to 131km (about 81 miles) and carrying up to 4 people. It’s inspiring seeing companies like Mahindra contribute to the decarbonization.""",Business
"India is dangerously close to 'Hindu rate of growth', says Raghuram Rajan - What does it mean
 ",Raghuram Rajan said he's worried that earlier we would be lucky if we hit 5 per cent growth. The latest October-December Indian GDP numbers (4.4 per cent on year ago and 1 per cent relative to the previous quarter) suggest slowing growth from the heady numbers in the first half of the year.,Business
"NHAI likely to increase toll tax across India from next month - details
","NHAI plans to increase toll rates from April 1 on National Highways and Expressways. Toll prices will rise by 5% to 10%, according to a report
",Business
"BCL Industries to issue nearly 55 lakh convertible warrants; stock surges 
","The board has fixed the issue price at Rs 360 bearing a nominal value of Rs 10 each on a preferential basis after allottees pay 25 per cent of the issue price.

",Business
title,article,category
"Gold prices rise by Rs. 635 at Multi Commodity Exchange for April contracts
",Gold prices today rose by 635 rupees at Multi Commodity Exchange for April contracts. The precious metal was trading at around 56785 rupees per 10 gram. ,Business
"Domestic share markets end with losses for 3rd consecutive session; Sensex drops 897 points to end at 58,238
","Domestic share markets ended with losses for the third consecutive session today, declining around one and half a percent amid mixed global cues.",Business
"Oil prices fall for 5th consecutive session
","Oil prices fell today for the fifth consecutive session as the collapse of Silicon Valley Bank in the United States raised fears of a fresh financial crisis, but a recovery in Chinese demand provided support.",Business
"Asian market ends mixed; Hong Kong's Hang Seng gains 1.9%
",Asian market ended mixed today as the US government stepped in with a series of emergency measures to shore up confidence in the banking system following the failure of Silicon Valley Bank.,Business
"Foreign investors pump over RS 6,300 crore into Indian capital markets in March, so far
","Foreign investors pumped more than RS 6,300 crore into the Indian capital markets this month, so far. Foreign Portfolio investors (FPIs) invested Rs 13,540 crore in the equities market and Rs 1185 crore in the Hybrid market.  ",Business
"Gold price rise by Rs. 155 rupees at Multi Commodity Exchange for April contracts
",Gold price today rose by 155 rupees at Multi Commodity Exchange for April contracts. ,Business
"Forex market: Domestic Unit closes at Rs. 82.02 against US dollar
","In the forex market, the rupee today appreciated four paise against the US dollar. ",Business
"Oil falls for a 4th session today heading for its biggest weekly loss in 5 weeks
","Oil fell for a fourth session today, heading for its biggest weekly loss in five week",Business
